region_name,to_rebuild
avon,1
bedfordshire,0
berkshire,0
buckinghamshire,0
cambridgeshire,0
cheshire,0
cornwall-and-isles-of-scilly,0
cumbria,0
derbyshire,0
devon,0
dorset,0
east-sussex,0
essex,0
gloucestershire,0
greater-manchester,0
hampshire,1
hereford-and-worcester,0
hertfordshire,0
humberside,0
isle-of-wight,1
kent,0
lancashire,0
leicestershire,0
lincolnshire,0
liverpool-city-region,0
london,1
norfolk,0
northamptonshire,0
north-east,0
northumberland,0
north-yorkshire,0
nottinghamshire,0
oxfordshire,0
shropshire,0
somerset,0
south-yorkshire,0
staffordshire,0
suffolk,0
surrey,0
wales,0
warwickshire,0
west-midlands,0
west-sussex,0
west-yorkshire,0
wiltshire,0
